Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
65.0,0.489,0.769,5.0,-3.524,1,0.038,0.00135,0.56,0.0727,0.637,128.985,215827.0,4,5
66.0,0.558,0.902,7.0,-4.018,1,0.0464,0.197,0.000148,0.0852,0.572,100.027,259893.0,4,5
31.0,0.321,0.803,5.0,-4.752,1,0.0398,0.00168,0.0125,0.0896,0.418,179.869,231180.0,4,5
59.0,0.532,0.943,7.0,-4.549,0,0.0512,0.0056,0.000587,0.317,0.371,140.042,294800.0,4,5
24.0,0.19,0.81,9.0,-8.837,0,0.053,0.000571,0.767,0.104,0.0456,121.991,351506.0,4,3
25.0,0.495,0.754,2.0,-5.894,0,0.0385,0.00704,0.00248,0.137,0.38,147.957,220312.0,4,0
29.0,0.397,0.367,10.0,-9.16,1,0.0363,0.586,0.000417,0.103,0.524,178.975,216547.0,3,1
44.0,0.419,0.608,10.0,-9.957,0,0.054,0.798,0.0476,0.129,0.341,125.144,229500.0,1,2
37.0,0.343,0.701,10.0,-5.365,1,0.0297,0.00225,0.00516,0.115,0.416,91.601,232485.0,4,5
36.0,0.475,0.157,10.0,-19.063,1,0.0567,0.976,0.0348,0.0776,0.519,169.224,183066.0,4,1
49.0,0.556,0.546,9.0,-13.215,1,0.0285,0.117,0.845,0.115,0.427,91.887,447999.0,4,2
72.0,0.625,0.85,4.0,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,241667.0,4,4
57.0,0.483,0.858,9.0,-2.94,0,0.0346,0.0559,0.00107,0.514,0.712,188.055,357419.0,4,5
37.0,0.508,0.89,1.0,-6.592,1,0.0687,3.43e-05,0.00133,0.319,0.661,160.084,163875.0,4,0
43.0,0.722,0.85,1.0,-4.967,0,0.0542,0.000554,0.61,0.546,0.809,133.055,216677.0,4,0
67.0,0.721,0.485,5.0,-11.213,0,0.0681,0.158,0.275,0.107,0.614,150.027,188617.0,4,0
74.0,0.53,0.538,5.0,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051,233654.0,4,4
